"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2663","@smoke logout link exist test","chromium","2026-07-02","passed","2026-07-02","","homepagefix.spec.ts","",""
"","2751","@smoke comp logo exists on product page","chromium","2026-07-02","passed","2026-07-02","","productpage.spec.ts","",""
"","1962","@smoke comp logo exists on product page","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","2675","@smoke user is able to login to app test","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","1211","@smoke GET -- get all users","chromium","2026-07-02","passed","2026-07-02","","api/users.api.schema.spec.ts","",""
"","1907","@smoke footers exist on product page","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","2587","@smoke comp logo exists on product page","chromium","2026-07-02","passed","2026-07-02","","search.spec.ts","",""
"","1945","@smoke GET -- get a user","chromium","2026-07-02","passed","2026-07-02","","api/users.api.schema.spec.ts","",""
"","2636","@smoke footers exist on product page","chromium","2026-07-02","passed","2026-07-02","","productpage.spec.ts","",""
"","1878","@smoke login page title test","chromium","2026-07-02","passed","2026-07-02","","loginpagefix.spec.ts","",""
"","2411","@smoke footers exist on product page","chromium","2026-07-02","passed","2026-07-02","","search.spec.ts","",""
"","2735","@smoke home page title test","chromium","2026-07-02","passed","2026-07-02","","homepagefix.spec.ts","",""
"","2679","@smoke intercept and log requests","chromium","2026-07-02","passed","2026-07-02","","api/intercept.spec.ts","",""
