"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3296","@smoke footers exist on product page","chromium","2026-06-25","passed","2026-06-25","","productpage.spec.ts","",""
"","3200","@smoke comp logo exists on product page","chromium","2026-06-25","passed","2026-06-25","","productpage.spec.ts","",""
"","3244","@smoke logout link exist test","chromium","2026-06-25","passed","2026-06-25","","homepagefix.spec.ts","",""
"","1655","@smoke GET -- get a user","chromium","2026-06-25","passed","2026-06-25","","api/users.api.schema.spec.ts","",""
"","1291","@smoke GET -- get all users","chromium","2026-06-25","passed","2026-06-25","","api/users.api.schema.spec.ts","",""
"","2349","@smoke login page title test","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","3351","@smoke intercept and log requests","chromium","2026-06-25","passed","2026-06-25","","api/intercept.spec.ts","",""
"","3195","@smoke user is able to login to app test","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","3325","@smoke comp logo exists on product page","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","3201","@smoke footers exist on product page","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","2479","@smoke footers exist on product page","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","3448","@smoke home page title test","chromium","2026-06-25","passed","2026-06-25","","homepagefix.spec.ts","",""
"","2462","@smoke comp logo exists on product page","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
