"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2492","@smoke comp logo exists on product page","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","2638","@smoke logout link exist test","chromium","2026-06-25","passed","2026-06-25","","homepagefix.spec.ts","",""
"","1950","@smoke footers exist on product page","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2464","@smoke intercept and log requests","chromium","2026-06-25","passed","2026-06-25","","api/intercept.spec.ts","",""
"","1541","@smoke GET -- get a user","chromium","2026-06-25","passed","2026-06-25","","api/users.api.schema.spec.ts","",""
"","2522","@smoke footers exist on product page","chromium","2026-06-25","passed","2026-06-25","","search.spec.ts","",""
"","1721","@smoke login page title test","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2617","@smoke comp logo exists on product page","chromium","2026-06-25","passed","2026-06-25","","productpage.spec.ts","",""
"","1909","@smoke comp logo exists on product page","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","1180","@smoke GET -- get all users","chromium","2026-06-25","passed","2026-06-25","","api/users.api.schema.spec.ts","",""
"","2623","@smoke user is able to login to app test","chromium","2026-06-25","passed","2026-06-25","","loginpagefix.spec.ts","",""
"","2456","@smoke footers exist on product page","chromium","2026-06-25","passed","2026-06-25","","productpage.spec.ts","",""
"","2829","@smoke home page title test","chromium","2026-06-25","passed","2026-06-25","","homepagefix.spec.ts","",""
